"USERID","FIRSTNAME","LASTNAME","USEREMAIL","CITY","USERSTATUS"
"Admin","admin","admin","dummy@dummy.com","","ACTIVE"
"systemadmin","","","dummy@dummy.com","","ACTIVE"
"1","","","","","INACTIVE"
"2","","","","","INACTIVE"
"3","Singh","Cherry","","","ACTIVE"
"4","Sri","Danya","","","ACTIVE"
"5","Fred","Emma","","","INACTIVE"
"6","Kohli","Virat","","","ACTIVE"
"7","Sharma","Rohith","","","ACTIVE"
"8","Dhoni","MS","","","INACTIVE"
"9001","Holder","Json","","","ACTIVE"
"9002","Holder","Json","","","ACTIVE"
"9003","Holder","Json","","","ACTIVE"
"SVNT796435","Holder","Json","","","ACTIVE"
"9005","Holder","Json","","","ACTIVE"
"9006","Holder","Json","","","ACTIVE"
"9007","Json","Holder","","","ACTIVE"
"9008","Json","Holder","","","ACTIVE"
"9009","Json","Holder","","","ACTIVE"
"9010","Json","Holder","","","ACTIVE"
"9011","Json","Holder","9011@dev.com","","ACTIVE"
"9012","Json","Holder","9012@dev.com.in","","ACTIVE"
"9013","Json","Holder","9013@dev.com","","ACTIVE"
"9015","Dmitri","Yunov","DYunov@dev.com","","INACTIVE"
"testuser1","asdf","efgh","abc@gmail.com","","ACTIVE"
"testuser2","abvc","efdg","bvc@gmail.com","","INACTIVE"
"Superadmin","super","admin","dummy@dummy.com","","INACTIVE"
"testuser3","testfnthree","testlnthree","dummy@dummy.com","","ACTIVE"
"testuser4","testu","four","dummy@dummy.com","delhi","ACTIVE"
"testuser5","user","five","dummy@dummy.com","","ACTIVE"
"BMCGRATH","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"DEALE4","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"DECJE0","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"GBABBM","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"GBACQF","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"GBADAL","Firstname","lastname","dummy@dummy.com","","INACTIVE"
"GBANE7","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"GBASBB","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"GBATO0","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"GBAVE3","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"GBBPA9","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"GBCWH8","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"GBCWY0","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"HACHAA","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"INANDS","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"INASBQ","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"INBTA2","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"ITBMO0","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"ITCPA3","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"NLACP0","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"NLASVR","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PHAAMK","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PHAAND","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PHAAP3","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PHABBA","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PHABCF","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PHADAQ","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PHADG4","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PHAGAW","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PHAPI4","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PHASUF","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PHASUG","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PHBAN5","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PHCCAZ","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PHCMO5","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PHKCHH","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PLAGRC","Firstname","lastname","dummy@dummy.com","","ACTIVE"
"PLAJA8","Firstname","lastname","dummy@dummy.com","","ACTIVE"
